cycle_id,start_time,end_time,start_price,start_equity,end_equity,net_pnl,net_return,exit_reason,max_safety_depth,max_notional,fees,slippage_cost,funding_cost,gross_realized_pnl,ambiguous_bars
21,2023-12-05 20:00:00+00:00,2023-12-05 22:25:00+00:00,43855.916999999994,2049.4171830402847,2052.100424148839,2.6832411085542844,0.00130927032853978,trailing_stop_same_bar,0,311.6967,0.30848728319587493,0.308488108249956,0.0,2.9917283917500246,1
22,2023-12-06 00:00:00+00:00,2023-12-08 21:40:00+00:00,44103.740849999995,2052.100424148839,2054.410823238394,2.310399089555176,0.0011258703825440808,trailing_stop,0,268.67580000000004,0.26591059994474997,0.2659113104999706,0.0,2.5763096895000492,0
23,2023-12-09 00:00:00+00:00,2023-12-13 21:50:00+00:00,44231.7048,2054.410823238394,2061.2650371509562,6.854213912562045,0.003336340441274288,trailing_stop_same_bar,2,777.7800000000001,0.765728067509964,0.7657301639279321,0.0,7.619941980072079,1
24,2023-12-14 00:00:00+00:00,2023-12-14 14:35:00+00:00,42896.4375,2061.2650371509562,2066.462602486526,5.197565335569834,0.002521541500919211,trailing_stop,1,556.2882000000001,0.55035604493025,0.5503576195000133,0.0,5.74792138050012,0
25,2023-12-14 16:00:00+00:00,2023-12-14 17:30:00+00:00,42475.32704999999,2066.462602486526,2068.830480627826,2.367878141300025,0.0011458606308436536,trailing_stop_same_bar,0,303.1,0.29866055869999997,0.29866129999994884,0.0,2.666538700000041,1
26,2023-12-14 20:00:00+00:00,2023-12-19 01:45:00+00:00,43126.5525,2068.830480627826,2074.855319868491,6.024839240664733,0.002912195705293552,trailing_stop_same_bar,1,560.3000000000001,0.5537082881356001,0.5537100711998865,0.0,6.578547528800119,1
27,2023-12-19 04:00:00+00:00,2023-12-20 14:05:00+00:00,43121.65005,2074.855319868491,2078.762929072372,3.907609203881293,0.0018833164734246566,trailing_stop,0,307.755,0.30395733361875005,0.30395846249994796,0.0,4.211566537500083,0
28,2023-12-20 16:00:00+00:00,2024-01-01 23:25:00+00:00,44100.93945,2078.762929072372,2085.4377645810873,6.674835508715205,0.0032109652406075995,trailing_stop_same_bar,1,573.3000000000001,0.566475653668808,0.5664776056159317,0.0,7.241311162384125,1
29,2024-01-02 00:00:00+00:00,2024-01-02 00:15:00+00:00,44252.41515,2085.4377645810873,2088.064027458271,2.6262628771837626,0.0012593340936795094,trailing_stop_same_bar,0,314.433,0.31123565531624997,0.3112364674999917,0.0,2.93749853249998,1
30,2024-01-02 04:00:00+00:00,2024-01-04 15:25:00+00:00,45457.61745,2088.064027458271,2092.2275388351154,4.163511376844326,0.0019939577149425958,trailing_stop_same_bar,2,795.8700000000001,0.7855097002614473,0.7855111338943535,0.0,4.949021077105703,1
31,2024-01-04 16:00:00+00:00,2024-01-04 20:35:00+00:00,44072.4252,2092.2275388351154,2092.0982454570903,-0.1292933780250678,-6.179699656239102e-05,trailing_stop_same_bar,0,313.8856,0.308596628025,0.3085967499999751,0.0,0.1793032500000045,1
32,2024-01-05 00:00:00+00:00,2024-01-05 09:00:00+00:00,44165.8719,2092.0982454570903,2098.412772353141,6.3145268960506655,0.003018274552718747,trailing_stop_same_bar,1,575.1460000000001,0.567124548877536,0.5671264110719203,0.0,6.881651444928161,1
33,2024-01-05 12:00:00+00:00,2024-01-05 20:50:00+00:00,43791.78495,2098.412772353141,2097.981811798641,-0.4309605544999613,-0.00020537453840252518,trailing_stop_same_bar,0,311.5,0.30648025450000005,0.3064802999999884,0.0,-0.12448029999998834,1
34,2024-01-06 00:00:00+00:00,2024-01-08 12:00:00+00:00,44167.37265,2097.981811798641,2100.803635159466,2.8218233608249648,0.0013450180287339908,trailing_stop_same_bar,0,315.23310000000004,0.310737889175,0.31073874999995316,0.0,3.132561250000006,1
35,2024-01-08 16:00:00+00:00,2024-01-08 17:55:00+00:00,44992.18485,2100.803635159466,2103.4737107317046,2.670075572238602,0.001270978175947457,trailing_stop_same_bar,0,319.6893,0.31643855101162505,0.3164393767499787,0.0,2.9865141232500756,1
36,2024-01-08 20:00:00+00:00,2024-01-09 21:10:00+00:00,47030.60354999999,2103.4737107317046,2101.2007357040548,-2.2729750276498635,-0.001080581618897014,trailing_stop_same_bar,0,288.08880000000005,0.28118772765,0.28118729999994685,0.0,-1.9917872999999382,1
37,2024-01-10 00:00:00+00:00,2024-01-10 22:50:00+00:00,46136.95695,2101.2007357040548,2103.206807544555,2.0060718405002262,0.0009547264125757682,trailing_stop_same_bar,0,281.6706,0.2779637595000001,0.277964399999968,0.0,2.284035600000032,1
38,2024-01-11 00:00:00+00:00,2024-01-11 13:10:00+00:00,46686.3315,2103.206807544555,2106.054177661239,2.847370116684033,0.0013538231744354423,trailing_stop,0,284.81280000000004,0.281682515316,0.2816833679999836,0.0,3.12905263200005,0
39,2024-01-11 16:00:00+00:00,2024-02-07 20:15:00+00:00,46836.8067,2106.054177661239,2113.231537760178,7.177360098939062,0.003407965557139514,trailing_stop_same_bar,3,1061.1768,1.0470803205902355,1.0470826384708634,0.0,8.22444041952904,1
40,2024-02-08 00:00:00+00:00,2024-02-08 14:00:00+00:00,44348.46315,2113.231537760178,2117.0192669543553,3.7877291941772455,0.0017923872166851762,trailing_stop_same_bar,0,316.27819999999997,0.31248935132275,0.3124904544999954,0.0,4.1002185454999704,1
41,2024-02-08 16:00:00+00:00,2024-02-09 02:45:00+00:00,45429.1032,2117.0192669543553,2119.6991629613553,2.679896007000025,0.00126588172759301,trailing_stop_same_bar,0,277.56,0.27405159300000004,0.27405239999995684,0.0,2.9539476000000433,1
42,2024-02-09 04:00:00+00:00,2024-02-09 11:45:00+00:00,46069.52325,2119.6991629613553,2124.2286191331305,4.529456171775109,0.002136839156669401,trailing_stop_same_bar,0,282.78000000000003,0.278821278225,0.2788225499999535,0.0,4.808277449999994,1
43,2024-02-09 12:00:00+00:00,2024-02-09 18:00:00+00:00,47179.47795,2124.2286191331305,2126.4685404352804,2.2399213021499236,0.0010544633858966534,trailing_stop_same_bar,0,287.3964,0.28433899785000005,0.28433969999998226,0.0,2.5242602999999653,1
44,2024-02-09 20:00:00+00:00,2024-02-11 03:35:00+00:00,47510.04315,2126.4685404352804,2130.053147274931,3.584606839650405,0.0016857088508428486,trailing_stop_same_bar,0,290.874,0.28699606035,0.2869970999999496,0.0,3.871602900000042,1
45,2024-02-11 04:00:00+00:00,2024-02-12 15:30:00+00:00,48541.858799999995,2130.053147274931,2132.571633050881,2.518485775950012,0.0011823581863072974,trailing_stop_same_bar,0,297.0,0.29265672405,0.29265749999997204,0.0,2.8111425000000017,1
46,2024-02-12 16:00:00+00:00,2024-02-14 08:55:00+00:00,49950.46275,2132.571633050881,2133.8414567185805,1.2698236676997112,0.0005954424451772855,trailing_stop_same_bar,0,305.28000000000003,0.30048793230000004,0.3004883999999729,0.0,1.570311600000001,1
47,2024-02-14 12:00:00+00:00,2024-02-15 00:20:00+00:00,51626.90055,2133.8414567185805,2135.4274366704303,1.585979951849822,0.0007432510727805042,trailing_stop_same_bar,0,314.8902,0.31070974815,0.31071029999999156,0.0,1.8966897000000171,1
48,2024-02-15 04:00:00+00:00,2024-02-26 16:05:00+00:00,52406.08995,2135.4274366704303,2138.00446987263,2.5770332021998,0.0012067997057385593,trailing_stop_same_bar,0,321.3354,0.31588299780000006,0.3158837999999814,0.0,2.8929161999999926,1
